SongName,CatBoxLink,GroupName,AlbumName,ArtistId,SongId,Duration,releasedate,issolo,Gender
Heartbeat,https://files.catbox.moe/p1z5c4.webm,2PM,https://catbox.moe/c/zrllfc,5,901,239.16,2009-11-11,n,male
Hot,https://files.catbox.moe/hf6nwk.webm,2PM,https://catbox.moe/c/zrllfc,5,10167,208.28,2011-07-26,n,male
I Hate You,https://files.catbox.moe/xe9rbl.webm,2PM,https://catbox.moe/c/zrllfc,5,10162,194.92,2009-06-28,n,male
I Will Give You My Life,https://files.catbox.moe/tr7rsf.webm,2PM,https://catbox.moe/c/zrllfc,5,10166,196.32,2010-06-10,n,male
I'll Be Back,https://files.catbox.moe/8znt1d.webm,2PM,https://catbox.moe/c/zrllfc,5,574,298.2,2010-10-11,n,male
Make It,https://files.catbox.moe/qgddo4.webm,2PM,https://catbox.moe/c/zrllfc,5,14851,220.4,2021-06-28,n,male
My House,https://files.catbox.moe/7sg5x6.webm,2PM,https://catbox.moe/c/zrllfc,5,829,202.22,2015-06-14,n,male
Only You,https://files.catbox.moe/zn3uhw.mkv,2PM,https://catbox.moe/c/zrllfc,5,2636,243.78,2012-05-20,n,male
Promise,https://files.catbox.moe/jjm1ma.webm,2PM,https://catbox.moe/c/zrllfc,5,2634,208.44,2016-09-12,n,male
Thank you,https://files.catbox.moe/8iv8e3.webm,2PM,https://catbox.moe/c/zrllfc,5,10163,249.96,2010-08-17,n,male
The Cafe,https://files.catbox.moe/bki7a8.webm,2PM,https://catbox.moe/c/zrllfc,5,15010,261.58,2021-07-04,n,male
Without U,https://files.catbox.moe/mpo94y.webm,2PM,https://catbox.moe/c/zrllfc,5,902,258.9,2010-04-18,n,male
24-7,https://files.catbox.moe/iuxsy5.webm,2YOON,https://catbox.moe/c/il83jv,6,1172,240.68,2013-01-16,n,female
Canvas,https://files.catbox.moe/un437q.webm,4Minute,https://catbox.moe/c/4bd3pq,7,14440,228.92000000000002,2016-04-15,n,female
Cold Rain,https://files.catbox.moe/v7ueq6.webm,4Minute,https://catbox.moe/c/4bd3pq,7,590,224.7,2015-01-25,n,female
Crazy,https://files.catbox.moe/dn0b7r.webm,4Minute,https://catbox.moe/c/4bd3pq,7,591,192.72,2015-02-08,n,female
Hate,https://files.catbox.moe/z565u1.webm,4Minute,https://catbox.moe/c/4bd3pq,7,1402,221.46,2016-01-31,n,female
Heart to Heart,https://files.catbox.moe/vjrixs.webm,4Minute,https://catbox.moe/c/4bd3pq,7,194,286.8,2011-03-28,n,female
HuH,https://files.catbox.moe/f9kn5h.webm,4Minute,https://catbox.moe/c/4bd3pq,7,193,257.66,2010-05-20,n,female
I My Me Mine,https://files.catbox.moe/0h713r.webm,4Minute,https://catbox.moe/c/4bd3pq,7,192,217.3,2010-07-04,n,female
Is It Poppin'#,https://files.catbox.moe/8vyb01.webm,4Minute,https://catbox.moe/c/4bd3pq,7,197,202.64,2013-06-27,n,female
Love Tension,https://files.catbox.moe/zmm5fl.webm,4Minute,https://catbox.moe/c/4bd3pq,7,188,234.34,2012-08-06,n,female
Mirror Mirror,https://files.catbox.moe/jguxdu.webm,4Minute,https://catbox.moe/c/4bd3pq,7,195,221.54,2011-04-04,n,female
Volume Up,https://files.catbox.moe/3zdcwk.webm,4Minute,https://catbox.moe/c/4bd3pq,7,189,257.82,2012-04-08,n,female
What's Your Name,https://files.catbox.moe/9ygs1b.webm,4Minute,https://catbox.moe/c/4bd3pq,7,198,207.44,2013-04-25,n,female
Whatcha Doin' Today,https://files.catbox.moe/llm39b.webm,4Minute,https://catbox.moe/c/4bd3pq,7,196,220.16,2014-03-16,n,female
Soulmate #1,https://files.catbox.moe/lta2vz.webm,F-ve dolls,https://catbox.moe/c/1eco9l,8,12380,301.62,2013-07-30,n,female
This and That,https://files.catbox.moe/jb45sh.webm,F-ve dolls,https://catbox.moe/c/1eco9l,8,1732,217.4,2011-05-16,n,female
Dolls,https://files.catbox.moe/n9akn3.webm,9Muses,https://catbox.moe/c/wlnblf,9,600,208.62,2013-01-23,n,female
Drama,https://files.catbox.moe/bftex4.webm,9Muses,https://catbox.moe/c/wlnblf,9,593,242.46,2015-01-22,n,female
Figaro,https://files.catbox.moe/a0vond.webm,9Muses,https://catbox.moe/c/wlnblf,9,944,206.06,2011-08-18,n,female
Glue,https://files.catbox.moe/06v8pr.webm,9Muses,https://catbox.moe/c/wlnblf,9,599,193.46,2013-12-03,n,female
Gun,https://files.catbox.moe/hnl6z4.webm,9Muses,https://catbox.moe/c/wlnblf,9,601,202.4,2013-10-13,n,female
Hurt Locker,https://files.catbox.moe/muhcng.webm,9Muses,https://catbox.moe/c/wlnblf,9,839,205.76,2015-07-01,n,female
Love City,https://files.catbox.moe/s27nqv.webm,9Muses,https://catbox.moe/c/wlnblf,9,2230,211.9,2017-08-03,n,female
News,https://files.catbox.moe/nyw6mo.webm,9Muses,https://catbox.moe/c/wlnblf,9,603,189.06,2012-01-10,n,female
No Playboy,https://files.catbox.moe/0jrnko.webm,9Muses,https://catbox.moe/c/wlnblf,9,875,194.14,2011-03-18,n,female
Remember,https://files.catbox.moe/yxwsus.webm,9Muses,https://catbox.moe/c/wlnblf,9,2124,279.0,2017-06-19,n,female
Sleepless Night,https://files.catbox.moe/6az59x.webm,9Muses,https://catbox.moe/c/wlnblf,9,1045,289.02,2015-11-23,n,female
Ticket,https://files.catbox.moe/ao45tr.webm,9Muses,https://catbox.moe/c/wlnblf,9,615,221.88,2012-03-07,n,female
Wild,https://files.catbox.moe/ncn4zf.webm,9Muses,https://catbox.moe/c/wlnblf,9,597,196.24,2013-05-08,n,female
Lip 2 Lip,https://files.catbox.moe/2betw9.webm,9Muses A,https://catbox.moe/c/xyjfqc,10,1694,252.6,2016-08-03,n,female
Ah!,https://files.catbox.moe/1j5u9q.webm,After School,https://catbox.moe/c/g5z3wh,11,3296,207.54,2009-01-19,n,female
Bang!,https://files.catbox.moe/gbrmuv.webm,After School,https://catbox.moe/c/g5z3wh,11,12376,199.62,2010-03-25,n,female
Because of You,https://files.catbox.moe/oqsggg.webm,After School,https://catbox.moe/c/g5z3wh,11,890,254.3,2009-11-30,n,female
Diva,https://files.catbox.moe/z1fvuu.webm,After School,https://catbox.moe/c/g5z3wh,11,12371,197.88,2009-04-09,n,female
First Love,https://files.catbox.moe/95qmcw.webm,After School,https://catbox.moe/c/g5z3wh,11,8479,220.48,2013-06-13,n,female
Flashback,https://files.catbox.moe/og1lac.webm,After School,https://catbox.moe/c/g5z3wh,11,503,209.22,2012-06-19,n,female
Let's Step Up,https://files.catbox.moe/zrlk6x.webm,After School,https://catbox.moe/c/g5z3wh,11,845,110.64,2011-04-29,n,female
Love Love Love,https://files.catbox.moe/vtxgt6.webm,After School,https://catbox.moe/c/g5z3wh,11,846,223.82,2010-12-10,n,female
Night into the Sky (After School Red),https://files.catbox.moe/sxz8h1.webm,After School,https://catbox.moe/c/g5z3wh,11,3219,215.18,2011-07-27,n,female
Shampoo,https://files.catbox.moe/ss9ruw.webm,After School,https://catbox.moe/c/g5z3wh,11,844,358.62,2011-04-28,n,female
Wonder Boy (After School Blue),https://files.catbox.moe/ivvz5h.webm,After School,https://catbox.moe/c/g5z3wh,11,3220,223.68,2011-07-19,n,female
Agust D,https://files.catbox.moe/y6m66x.webm,Agust D,https://catbox.moe/c/oygl2t,12,1919,186.26,2016-08-15,y,male
Daechwita,https://files.catbox.moe/kxqtjs.webm,Agust D,https://catbox.moe/c/oygl2t,12,6237,268.26,2020-05-22,y,male
Give it to me,https://files.catbox.moe/z3hr0t.webm,Agust D,https://catbox.moe/c/oygl2t,12,1920,154.3,2016-08-18,y,male
Because It Is Love,https://files.catbox.moe/35sgj9.webm,Ailee,https://catbox.moe/c/hm9lch,13,7678,187.08,2016-03-16,y,female
Because of Tears,https://files.catbox.moe/0s94jw.webm,Ailee,https://catbox.moe/c/hm9lch,13,7688,264.76,2013-10-30,y,female
Blue bird,https://files.catbox.moe/wc1k81.webm,Ailee,https://catbox.moe/c/hm9lch,13,7895,222.7,2020-11-08,y,female
Breaking Down,https://files.catbox.moe/5i6zgp.webm,Ailee,https://catbox.moe/c/hm9lch,13,13300,223.76,2021-05-18,y,female
Don't Teach Me,https://files.catbox.moe/3ywbfh.webm,Ailee,https://catbox.moe/c/hm9lch,13,17332,206.24,2021-10-27,y,female
Evening sky,https://files.catbox.moe/vk0yju.webm,Ailee,https://catbox.moe/c/hm9lch,13,7674,228.02,2012-11-01,y,female
Good bye my love,https://files.catbox.moe/uyhwtv.webm,Ailee,https://catbox.moe/c/hm9lch,13,633,291.0,2014-08-12,y,female
Heaven,https://files.catbox.moe/iiiyyl.webm,Ailee,https://catbox.moe/c/hm9lch,13,635,223.28,2012-02-08,y,female
Home,https://files.catbox.moe/bv2njv.webm,Ailee,https://catbox.moe/c/hm9lch,13,1994,236.1,2016-10-04,y,female
I Will Go To You Like The First Snow,https://files.catbox.moe/myc9b0.webm,Ailee,https://catbox.moe/c/hm9lch,13,14822,227.14,2017-02-08,y,female
I will show you,https://files.catbox.moe/p8tz3e.webm,Ailee,https://catbox.moe/c/hm9lch,13,632,232.26,2012-10-15,y,female
Ice Flower,https://files.catbox.moe/lq39zq.webm,Ailee,https://catbox.moe/c/hm9lch,13,7677,290.98,2013-01-30,y,female
