id,id_parent,nome,vtype,vlink,id_artist,publishedon,views,likes,dislikes,lastupdate,recentviews,recentlikes,promoted,dead,promotedviews
5034,5033,wonderland,duplicate,eLfpeg3Fofo,463,2019-10-08,5987349,318896,2023,"2020-06-21 06:52:30",12312,522,n,n,0
5035,4967,BByong,dance,hE0xMgxpmF8,503,2019-09-30,344999,25105,217,"2020-06-18 13:28:02",177,8,n,n,0
5036,0,"When it rains",main,eqpGkMlTJMU,421,2019-10-02,248576,20364,64,"2020-06-18 13:27:02",229,11,n,n,0
5037,5031,Why,duplicate,BodVjFLsi8o,464,2019-10-07,763748,70030,236,"2020-06-18 23:25:01",3123,175,n,n,0
5038,NULL,"My Dear",main,0ghixOZKCuI,41,2019-10-09,41175,7437,6,"2020-06-18 23:22:02",32,3,n,n,0
5039,NULL,"See you later",main,W0M8kn_Ex-4,435,2019-10-09,913127,7057,351,"2020-06-18 23:21:02",1582,13,n,n,0
5040,NULL,"My beauty",main,RrTq41lLjho,459,2019-10-09,7535595,148477,629,"2020-06-21 06:33:01",13110,229,n,n,0
5041,NULL,"Double Knot",main,UWoyeuwj9c0,288,2019-10-09,35017256,1162918,8761,"2020-06-21 01:35:01",58940,1719,n,n,0
5042,0,"Set me free",main,RIsSCnDBDbY,126,2019-10-10,15182,1253,7,"2020-06-18 23:18:02",9,1,n,n,0
5043,NULL,"Falling Leaves are Beautiful",main,lpka6ymCkIY,231,2019-10-13,2523822,86252,550,"2020-06-21 05:49:02",2456,41,n,n,0
5044,5041,"Double Knot",dance,tdb3BRhigyI,288,2019-10-13,2551814,262046,419,"2020-06-21 10:06:01",4407,273,n,n,0
5045,0,"Parallel (dance only)",dance,ch2juBP3Alk,215,2019-10-13,262296,21745,49,"2020-06-21 13:37:02",330,13,n,n,0
5046,0,"Say Yes",main,6GC8JF2FOgA,527,2016-08-28,73764803,458700,6830,"2020-06-21 01:02:02",151131,1062,n,n,0
5047,NULL,"Good Vibe",main,NdoNRP-9shw,528,2019-09-06,2344960,123951,1267,"2020-06-21 17:47:01",1728,49,n,n,0
5048,5064,"Are you my villain",dance,kdy_fe71-0I,528,2019-10-11,4472564,174910,4317,"2020-06-21 05:53:01",5936,162,n,n,0
5049,5047,"Good Vibe",alternate,yc4SYQtgabI,528,2019-09-27,1320758,55163,545,"2020-06-21 22:05:01",691,7,n,n,0
5050,0,Beautiful,main,W0cs6ciCt_k,49,2016-12-16,84532691,411663,7760,"2020-06-21 01:45:02",47655,458,n,n,0
5051,NULL,"For the night",main,cWeWR_rEy6g,529,2014-10-28,88865304,56284,33322,"2020-06-21 02:08:02",1175,2,n,n,0
5052,NULL,Everytime,main,fTc5tuEn6_U,530,2016-02-24,111130314,762949,9385,"2020-06-21 01:16:01",85459,844,n,n,0
5053,0,"Stay With Me",main,pcKR0LPwoYs,531,2016-12-02,218229298,2194058,26043,"2020-06-22 00:15:01",196760,2202,n,n,0
5054,NULL,Goblin,main,P5uE7KDkDFE,532,2019-06-29,12532044,656255,14281,"2020-06-21 05:50:01",19899,1330,n,n,0
5055,2410,"In love with someone else",duplicate,G15a4rlwf9A,281,2018-01-22,3203801,109434,2100,"2020-06-21 20:38:01",142,4,n,n,0
5056,0,"Someone's Someone",main,foHejoV20bc,143,2019-10-16,20123827,563455,7535,"2020-06-21 21:31:01",10655,288,n,n,10000000
5057,NULL,"Another Day",main,G6tW8eKUR1E,533,2019-07-14,12634625,100742,1095,"2020-06-21 05:11:01",0,0,n,n,0
5058,NULL,"Fake & True (jp)",main,zQELp93xxfo,208,2019-10-17,37176827,934688,18791,"2020-06-21 01:12:01",102514,1391,n,n,0
5059,NULL,"SUPER Clap",main,9yimV9i-dY0,189,2019-10-17,22276250,642491,6971,"2020-06-21 04:32:02",26927,285,n,n,0
5060,NULL,Farewell,main,Kn_SBMyymxI,136,2019-10-18,129690,2346,50,"2020-06-21 13:40:01",115,1,n,n,0
5061,NULL,"Make it right",main,eXBu09fwe3I,40,2019-10-18,72040246,4327910,42802,"2020-06-21 01:03:02",148163,3694,n,n,0
5062,5059,"SUPER Clap",dance,8M146nXXTYg,189,2019-10-19,4651500,175156,771,"2020-06-21 21:11:01",10532,225,n,n,0
5063,3704,Home,dance,C_dDHUMd9YI,414,2019-10-19,40077,4884,6,"2020-06-21 22:34:02",23,1,n,n,0
5064,0,"Are you my Villain",main,ePAyeQUDsAU,528,2019-10-18,1272562,48242,467,"2020-06-21 21:08:30",939,13,n,n,0
5065,NULL,"Don't Forget",main,OrVmxZATDCs,84,2019-10-20,209599,10427,62,"2020-06-21 22:44:01",414,10,n,n,0
5066,NULL,"Be as One",main,Svk07DjlTE8,208,2019-10-20,1485865,207388,704,"2020-06-21 18:08:30",2824,253,n,n,0
5067,NULL,"All Day",main,kURLVj4x3pY,464,2019-10-21,74742,0,0,"2020-06-20 13:12:01",887,0,n,n,0
5068,NULL,Poison,main,ot8feqIELkg,293,2019-10-21,473767,52497,169,"2020-06-21 22:42:01",747,49,n,n,0
5069,NULL,"Run Away",main,6yWPfUz0z94,465,2019-10-21,46015491,2337382,20955,"2020-06-21 01:08:01",120662,2493,n,n,0
5070,0,"Love Me",main,m5kOBOfoySA,151,2019-10-21,11537010,261456,1301,"2020-06-21 18:12:02",4381,106,n,n,5000000
5071,NULL,"Sweet Chaos",main,CWUGikRxGQs,54,2019-10-22,8541120,513877,1409,"2020-06-21 04:20:01",17562,501,n,n,0
5072,5065,"Don't Forget (violin duet)",alternate,zoboLXcMC9Q,84,2019-10-22,97607,9603,14,"2020-06-18 13:09:02",132,8,n,n,0
5073,NULL,"Find You",main,SRSBHbmV7hM,143,2019-10-22,3794491,362417,1009,"2020-06-21 17:54:01",4421,153,n,n,0
5074,5014,Lit,dance,L_p7nY_SAjM,454,2019-10-22,430190,45113,81,"2020-06-20 13:13:02",990,63,n,n,0
5075,NULL,"Hot Sauce (jp)",main,v0hq5rJJqJI,207,2019-10-23,1187079,23973,517,"2020-06-21 21:10:01",807,3,n,n,0
5076,NULL,Soso,main,oDKMLDH8kqc,217,2019-10-23,10746790,542694,5110,"2020-06-21 21:10:01",6038,101,n,n,0
5077,5014,Lit,alternate,NyZhDBsBQp8,454,2019-10-24,2192276,112775,388,"2020-06-21 10:27:02",4223,143,n,n,0
5078,4867,"You Don't Know Me",dance,pBaORvznpuE,467,2019-10-24,602401,44104,305,"2020-06-19 13:38:02",750,30,n,n,0
5079,5076,Soso,dance,Ecu88ee_zVI,217,2019-10-24,1601620,115964,644,"2020-06-21 18:12:30",793,33,n,n,0
5080,NULL,NomNomNom,main,U4DaypnKWDg,188,2019-10-25,328028,10860,122,"2020-06-19 13:45:02",175,3,n,n,0
5081,NULL,"The Korean Island Dokdo",main,Z285W7-ciis,452,2019-10-24,89149,10879,56,"2020-06-19 13:46:02",106,10,n,n,0
5082,5065,"Don'r Forget",alternate,7HBFOmRhhxY,84,2019-10-25,74289,8127,13,"2020-06-19 13:37:02",85,5,n,n,0
5083,5061,"Make it Right",alternate,y3rj2CDHF5c,40,2019-10-25,10062409,1393647,5569,"2020-06-21 05:25:01",9510,930,n,n,0
5084,NULL,"Catch Me (jp)",main,DffHWToC3v8,457,2019-10-25,85052,3724,40,"2020-06-19 13:35:01",41,2,n,n,0
5085,5070,"Love Me",dance,ueAXzxJvgXo,151,2019-10-26,228018,22804,39,"2020-06-19 13:35:01",172,6,n,n,0
5086,0,Fame,main,AHbSzXM1e_s,534,2019-10-25,3728702,32710,9245,"2020-06-21 11:59:03",3451,9,n,n,0
5087,NULL,"Miss me or Diss me",main,-6OxVfem0WM,534,2014-11-02,7611856,35818,13351,"2020-06-21 18:11:02",1218,5,n,n,0
5088,NULL,"Love Mash",main,Z2_PlMn8ZtY,534,2015-03-01,6218129,23993,3557,"2020-06-21 16:26:02",3467,14,n,n,0
5089,NULL,"Visual Gangster",main,iWS9gEQTFvE,534,2016-11-01,5522881,18744,6026,"2020-06-21 16:48:01",609,9,n,n,0
5090,NULL,Tears,main,S_usQ4-ACyU,534,2016-11-01,1159826,7277,910,"2020-06-21 17:56:02",298,0,n,n,0
5091,NULL,"Because I'm a man",main,JMPChFLkFis,534,2011-05-20,513669,894,63,"2020-06-21 23:20:01",91,1,n,n,0
